replacement,hierarchy,trace,ipc
srrip,l3exclusive,sssp-14.trace.gz,0.291251
srrip,l3exclusive,sssp-3.trace.gz,0.288405
srrip,l3exclusive,sssp-5.trace.gz,0.290313
srrip,l3inclusive,bc-0.trace.gz,0.140582
srrip,l3inclusive,bc-12.trace.gz,0.136116
srrip,l3inclusive,bc-3.trace.gz,0.15969
srrip,l3inclusive,bc-5.trace.gz,0.218662
srrip,l3inclusive,bfs-10.trace.gz,0.267616
srrip,l3inclusive,bfs-14.trace.gz,0.292115
srrip,l3inclusive,bfs-3.trace.gz,0.280464
srrip,l3inclusive,bfs-8.trace.gz,0.292197
srrip,l3inclusive,cc-13.trace.gz,0.205029
srrip,l3inclusive,cc-14.trace.gz,0.236315
srrip,l3inclusive,cc-5.trace.gz,0.260882
srrip,l3inclusive,cc-6.trace.gz,0.194193
srrip,l3inclusive,pr-10.trace.gz,0.0625827
srrip,l3inclusive,pr-14.trace.gz,0.0665222
srrip,l3inclusive,pr-3.trace.gz,0.0608551
srrip,l3inclusive,pr-5.trace.gz,0.0629574
srrip,l3inclusive,sssp-10.trace.gz,0.329852
srrip,l3inclusive,sssp-14.trace.gz,0.330371
srrip,l3inclusive,sssp-3.trace.gz,0.327711
srrip,l3inclusive,sssp-5.trace.gz,0.329029
srrip,cache,bc-0.trace.gz,0.127615
srrip,cache,bc-12.trace.gz,0.123387
srrip,cache,bc-3.trace.gz,0.149423
srrip,cache,bc-5.trace.gz,0.201523
srrip,cache,bfs-10.trace.gz,0.261665
srrip,cache,bfs-14.trace.gz,0.279768
srrip,cache,bfs-3.trace.gz,0.272999
srrip,cache,bfs-8.trace.gz,0.280935
srrip,cache,cc-13.trace.gz,0.20239
srrip,cache,cc-14.trace.gz,0.233201
srrip,cache,cc-5.trace.gz,0.257365
srrip,cache,cc-6.trace.gz,0.19172
srrip,cache,pr-10.trace.gz,0.0624091
srrip,cache,pr-14.trace.gz,0.0662921
srrip,cache,pr-3.trace.gz,0.0606869
srrip,cache,pr-5.trace.gz,0.0627669
srrip,cache,sssp-10.trace.gz,0.314267
srrip,cache,sssp-14.trace.gz,0.314745
srrip,cache,sssp-3.trace.gz,0.310625
srrip,cache,sssp-5.trace.gz,0.313176
drrip,l3exclusive,bc-0.trace.gz,0.12412
drrip,l3exclusive,bc-12.trace.gz,0.120308
drrip,l3exclusive,bc-3.trace.gz,0.144743
drrip,l3exclusive,bc-5.trace.gz,0.192108
drrip,l3exclusive,bfs-10.trace.gz,0.262689
drrip,l3exclusive,bfs-14.trace.gz,0.280223
drrip,l3exclusive,bfs-3.trace.gz,0.273893
drrip,l3exclusive,bfs-8.trace.gz,0.279803
drrip,l3exclusive,cc-13.trace.gz,0.173968
drrip,l3exclusive,cc-14.trace.gz,0.202018
drrip,l3exclusive,cc-5.trace.gz,0.224292
drrip,l3exclusive,cc-6.trace.gz,0.164689
drrip,l3exclusive,pr-10.trace.gz,0.047187
drrip,l3exclusive,pr-14.trace.gz,0.0499184
drrip,l3exclusive,pr-3.trace.gz,0.0470013
drrip,l3exclusive,pr-5.trace.gz,0.0495701
drrip,l3exclusive,sssp-10.trace.gz,0.29107
drrip,l3exclusive,sssp-14.trace.gz,0.29133
drrip,l3exclusive,sssp-3.trace.gz,0.288483
drrip,l3exclusive,sssp-5.trace.gz,0.290338
drrip,l3inclusive,bc-0.trace.gz,0.145474
drrip,l3inclusive,bc-12.trace.gz,0.141638
drrip,l3inclusive,bc-3.trace.gz,0.162826
drrip,l3inclusive,bc-5.trace.gz,0.225496
drrip,l3inclusive,bfs-10.trace.gz,0.267809
drrip,l3inclusive,bfs-14.trace.gz,0.291619
drrip,l3inclusive,bfs-3.trace.gz,0.280315
drrip,l3inclusive,bfs-8.trace.gz,0.292107
drrip,l3inclusive,cc-13.trace.gz,0.211467
drrip,l3inclusive,cc-14.trace.gz,0.242933
drrip,l3inclusive,cc-5.trace.gz,0.264435
drrip,l3inclusive,cc-6.trace.gz,0.199463
drrip,l3inclusive,pr-10.trace.gz,0.056224
drrip,l3inclusive,pr-14.trace.gz,0.0711317
drrip,l3inclusive,pr-3.trace.gz,0.0706479
drrip,l3inclusive,pr-5.trace.gz,0.0702116
drrip,l3inclusive,sssp-10.trace.gz,0.33013
drrip,l3inclusive,sssp-14.trace.gz,0.331297
drrip,l3inclusive,sssp-3.trace.gz,0.327556
drrip,l3inclusive,sssp-5.trace.gz,0.331832
drrip,cache,bc-0.trace.gz,0.13361
drrip,cache,bc-12.trace.gz,0.129129
drrip,cache,bc-3.trace.gz,0.154307
drrip,cache,bc-5.trace.gz,0.208755
drrip,cache,bfs-10.trace.gz,0.262281
drrip,cache,bfs-14.trace.gz,0.282522
drrip,cache,bfs-3.trace.gz,0.274838
drrip,cache,bfs-8.trace.gz,0.282333
drrip,cache,cc-13.trace.gz,0.209192
drrip,cache,cc-14.trace.gz,0.244088
drrip,cache,cc-5.trace.gz,0.269261
drrip,cache,cc-6.trace.gz,0.20157
drrip,cache,pr-10.trace.gz,0.0722361
drrip,cache,pr-14.trace.gz,0.0631643
drrip,cache,pr-3.trace.gz,0.0705971
drrip,cache,pr-5.trace.gz,0.0721502
drrip,cache,sssp-10.trace.gz,0.328577
drrip,cache,sssp-14.trace.gz,0.324086
drrip,cache,sssp-3.trace.gz,0.325931
drrip,cache,sssp-5.trace.gz,0.328463
hawkeye,l3exclusive,bc-0.trace.gz,0.112659
hawkeye,l3exclusive,bc-12.trace.gz,0.107974
